Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Labels,Labels,Labels,Labels,Description,Environment,Watchers,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Attachment,Custom field (Development),Custom field (Issue color),Custom field (Rank),Custom field (Start date),Custom field (Team),Custom field (Vulnerability),Comment,Parent,Parent key,Parent summary,Status Category,Status Category Changed
Manual Testing - identify bugs,PIAMTK-27,10352,Epic,To Do,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 5:52 PM,13/Aug/26 5:52 PM,13/Aug/26 5:53 PM,,,0,ManualTesting,QA,scaredOfBugs,,"Explore the [Saucedemo|https://www.saucedemo.com/] site, *identify bugs* and +open detailed issue tickets+ about them:

* Clearly state the *expected result* and the *actual result*
* +List all steps+ to *reproduce the bug*
* Add *technical context* (session, environment, etc.)
* Give a *priority* accordingly, based on the severity / urgency of the error
* Add any other attachments that may be useful in fixing the bug (e.g. screenshots, logs, etc.)",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,dark_yellow,0|i0005j:,,,,,,,,To Do,13/Aug/26 5:52 PM
Make wrapper functions in BasePage to automatically handle WebDriverWait ,PIAMTK-26,10319,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 3:50 PM,13/Aug/26 4:29 PM,,13/Aug/26 4:29 PM,,0,Automation,cleanCode,QA,,"* Make an *isElementDisplayed* wrapper function, that calls 
{noformat}wait.until(ExpectedConditions.visibilityOfElementLocated(locator));{noformat}
* Make a *clickElement* wrapper function that calls 
{noformat}wait.until(ExpectedConditions.elementToBeClickable(locator)).click();{noformat}",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0003p:i,,,,,10218,PIAMTK-21,Write an extensive testing suite for Authentification,Done,13/Aug/26 4:29 PM
Automation - Flaky Test Bug: Logout button was not displayed in time for the test flow,PIAMTK-25,10286,Bug,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,High,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 2:26 PM,13/Aug/26 3:38 PM,14/Aug/26 10:46 AM,13/Aug/26 3:38 PM,,0,auth,Automation,bug,QA,"h3. Traceback:

* *1* Failed test
* *Script name:* auth-tests.xml  
* *Suite name:* SauceDemo AuthTests 
* *Test-Class name:* tests.auth.LogoutTest
* *Thrown assertion-error:* 
{noformat}java.lang.AssertionError: Logout button is not displayed.
Expected :true
Actual   :false
[...]
at tests.auth.LogoutTest.testLogout(LogoutTest.java:32){noformat}

h3. *Technical details - Environment*

* *Browser:* Google Chrome - v151.0.7922.137
* *Driver:* _Chromium:_ [+https://storage.googleapis.com/chrome-for-testing-public/151.0.7922.77/win64/chromedriver-win64.zip+|https://storage.googleapis.com/chrome-for-testing-public/151.0.7922.77/win64/chromedriver-win64.zip]

h3. Observations:

* Manual test for this function was *successful*
* There is a css transition for opening up the hamburger menu, *taking a fraction of a second for the logout button to be displayed*",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,PIAMTK-23,PIAMTK-21,,,,,,,0|i0005b:,,,,"13/Aug/26 3:38 PM;712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d;Bug / Issue was fixed by implementing explicit WebDriverWait in an inherited BasePage class.
",10218,PIAMTK-21,Write an extensive testing suite for Authentification,Done,13/Aug/26 3:38 PM
Update the @testAccessLoggedOut() from AccessControlTest class with a @DataProvider,PIAMTK-24,10253,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,High,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 12:49 PM,13/Aug/26 4:29 PM,13/Aug/26 4:19 PM,13/Aug/26 4:29 PM,,0,Automation,DataProvider,QA,,"Rewrite the “testAccessLoggedOut” method using a *DataProvider* for PROTECTED_PAGES, instead of a for-loop over a string list.

*Reason: Fail-fast trap*

* in its current form, if the test fails for the first page, the test will stop without checking the rest of the pages
* with a data-provider, the test is executed individually for each page, highlighting if an eventual problem is related to a single page, or to the entire site.",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,PIAMTK-22,PIAMTK-17,,,,,0|i0003q:,,,,,10218,PIAMTK-21,Write an extensive testing suite for Authentification,Done,13/Aug/26 4:29 PM
Write Logout testing suite,PIAMTK-23,10220,Story,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 9:57 AM,13/Aug/26 3:39 PM,13/Aug/26 3:39 PM,13/Aug/26 3:39 PM,,0,auth,Automation,QA,,"* Test *session synchronization* by accessing in a different tab the inventory page, before logging out
* Test that buttons are +displayed+ and a user can *log out*
* *SLO*: Test that once logged out, a user cannot access back the inventory page (+broken access+)",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,PIAMTK-25,,,,,PIAMTK-22,,,,0|i0003p:,,,,,10218,PIAMTK-21,Write an extensive testing suite for Authentification,Done,13/Aug/26 3:39 PM
Write Broken Access Tests,PIAMTK-22,10219,Story,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 9:50 AM,13/Aug/26 12:59 PM,13/Aug/26 3:39 PM,13/Aug/26 12:59 PM,,0,auth,Automation,QA,,Validate that a +signed-out+ user *does not have access* to other pages and is *redirected back to Login page*. Check that the error message displayed.,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,PIAMTK-17,,,PIAMTK-23,,PIAMTK-24,,,,0|i0003v:,,,,,10218,PIAMTK-21,Write an extensive testing suite for Authentification,Done,13/Aug/26 12:59 PM
Write an extensive testing suite for Authentification,PIAMTK-21,10218,Epic,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 9:40 AM,13/Aug/26 5:52 PM,13/Aug/26 5:52 PM,13/Aug/26 5:52 PM,,0,auth,Automation,QA,,"* Test *Broken Access* and *URL page redirections*
* Test *successful / failed Logins*
* Test *Logouts*, *Single Log-out (SLO)*, *Session synchronization*",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,PIAMTK-25,,,,,,,,yellow,0|i0004n:,,,,,,,,Done,13/Aug/26 5:52 PM
Enable parallel tests,PIAMTK-20,10185,Task,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,13/Aug/26 9:11 AM,13/Aug/26 9:19 AM,,13/Aug/26 9:11 AM,,0,Automation,parallelTesting,QA,,"* Use *parallel* and *thread-count* attributes in the testing scripts
* Implement *ThreadLocal* wrapper when initializing the driver in the _BaseTest_ class for Thread-safe tests running",,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,PIAMTK-16,,,,,,0|i0001h:i,,,,,10112,PIAMTK-11,Rewrite the 2 demo tests,Done,13/Aug/26 9:11 AM
Create the FailedLogin test,PIAMTK-19,10152,Subtask,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,12/Aug/26 10:30 PM,13/Aug/26 9:44 AM,,13/Aug/26 9:44 AM,,0,,,,,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i0004f:,,,,,10149,PIAMTK-16,Write Login Tests Suite,Done,13/Aug/26 9:44 AM
Create the SuccessfulLogin test,PIAMTK-18,10151,Subtask,Done,PIAMTK,Learning Automation & Manual Testing -> saucedemo.com,software,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,Medium,Done,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,12/Aug/26 10:30 PM,13/Aug/26 9:44 AM,,13/Aug/26 9:44 AM,,0,,,,,,,Armand Veress,712020:b53618f6-b6c0-4958-8c9a-cf22ac74fe8d,,,,,,,,,,,,,,,,,,0|i00047:,,,,,10149,PIAMTK-16,Write Login Tests Suite,Done,13/Aug/26 9:44 AM
